,Date,Open,High,Low,Close,Adj Close,Volume
126,2022-01-05,0.1685,0.171,0.1472,0.159,0.159,1084632258
127,2022-01-06,0.1591,0.1621,0.1539,0.1599,0.1599,705767171
128,2022-01-07,0.16,0.1604,0.1489,0.155,0.155,1079690606
129,2022-01-08,0.1551,0.1579,0.1451,0.1509,0.1509,582238373
130,2022-01-09,0.1509,0.1539,0.1486,0.1505,0.1505,381170543
131,2022-01-10,0.1505,0.1522,0.1368,0.1431,0.1431,845047878
132,2022-01-11,0.143,0.167,0.1417,0.1538,0.1538,1691718365
133,2022-01-12,0.1538,0.1636,0.1511,0.1628,0.1628,911010585
134,2022-01-13,0.1627,0.1781,0.1613,0.1717,0.1717,2116971492
135,2022-01-14,0.1716,0.2148,0.1703,0.1832,0.1832,5406672589
136,2022-01-15,0.1832,0.1948,0.1815,0.1845,0.1845,1633943311
137,2022-01-16,0.1845,0.1847,0.1734,0.1766,0.1766,1069094552
138,2022-01-17,0.1766,0.1784,0.1656,0.1669,0.1669,705636187
